BEY_20110400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.324217
BEY_20110400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.328216
BEY_20110400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.329214
BEY_20110400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.330215
BEY_20110500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.375185
BEY_20110500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.379184
BEY_20110500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.380184
BEY_20110500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.381183
BEY_20120300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.425057
BEY_20120300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.429055
BEY_20120300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.431055
BEY_20120300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.432053
BEY_20120400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.474027
BEY_20120400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.477026
BEY_20120400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.478026
BEY_20120400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.479025
BEY_20120500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.534941
BEY_20120500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.538939
BEY_20120500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.539938
BEY_20120500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.540937
BEY_20130300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.582912
BEY_20130300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.587910
BEY_20130300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.588909
BEY_20130300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.589908
BEY_20130400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.634880
BEY_20130400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.637878
BEY_20130400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.639878
BEY_20130400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.640877
BEY_20130500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.681852
BEY_20130500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.685848
BEY_20130500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.686848
BEY_20130500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.687847
BEY_20140300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.730713
BEY_20140300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.734729
BEY_20140300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.735730
BEY_20140300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.737728
BEY_20140400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.785316
BEY_20140400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.789312
BEY_20140400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.791312
BEY_20140400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.792310
BEY_20140500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.831740
BEY_20140500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.834739
BEY_20140500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.835739
BEY_20140500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.837738
BEY_20150300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.872372
BEY_20150300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.876373
BEY_20150300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.878371
BEY_20150300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.879367
BEY_20150400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.911350
BEY_20150400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.915346
BEY_20150400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.917344
BEY_20150400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.918345
BEY_20150500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.952324
BEY_20150500_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.955323
BEY_20150500_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.957320
BEY_20150500_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.959321
BEY_20160300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:04.992003
BEY_20160300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.995001
BEY_20160300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.997000
BEY_20160300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:04.997999
BEY_20170400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:43:27.656618
BEY_20170400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:43:27.659616
BEY_20170400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:43:27.661615
BEY_20170400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:43:27.662614
BEY_20090100_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.094113
BEY_20090100_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.098110
BEY_20090100_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.099108
BEY_20090100_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.100109
BEY_20090200_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.142103
BEY_20090200_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.146102
BEY_20090200_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.147101
BEY_20090200_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.148099
BEY_20090300_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.235078
BEY_20090300_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.240062
BEY_20090300_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.241061
BEY_20090300_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.243060
BEY_20090400_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.286882
BEY_20090400_60pp.ffh         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.290882
BEY_20090400_60pp.ffd         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.291878
BEY_20090400_60pp.csv         |        local dir        |             processing failure at:  |  2020-07-24 15:45:35.293877
BEY_20090500_60pp             |     serv.izmiran.ru     |           ftp download failure at:  |  2020-07-24 15:45:35.337886
